model_name,model_version,decile,n,avg_pd,observed_default_rate
logreg,20260302_132221_48bfd53,1,100,0.15232306879340332,0.0
logreg,20260302_132221_48bfd53,2,100,0.23249621722975233,0.08
logreg,20260302_132221_48bfd53,3,100,0.2941661824387822,0.11
logreg,20260302_132221_48bfd53,4,100,0.3579075077143072,0.12
logreg,20260302_132221_48bfd53,5,100,0.41779018585020977,0.19
logreg,20260302_132221_48bfd53,6,100,0.4836520452894274,0.31
logreg,20260302_132221_48bfd53,7,100,0.5455195754150693,0.36
logreg,20260302_132221_48bfd53,8,100,0.617289167868337,0.44
logreg,20260302_132221_48bfd53,9,100,0.6897765936805598,0.64
logreg,20260302_132221_48bfd53,10,100,0.789627986750332,0.75
