feature,importance
num__credit_amount,1367.0
num__age_years,839.0
num__duration_months,519.0
num__installment_rate_pct_income,258.0
num__present_residence_since,172.0
cat__status_checking_account_A14,142.0
cat__status_checking_account_A11,124.0
cat__personal_status_and_sex_A93,114.0
cat__savings_account_bonds_A61,108.0
cat__personal_status_and_sex_A92,108.0
num__existing_credits_count,106.0
cat__credit_history_A34,100.0
cat__property_A123,97.0
cat__present_employment_since_A73,95.0
cat__credit_history_A32,95.0
cat__job_A173,94.0
cat__property_A121,93.0
cat__status_checking_account_A12,90.0
cat__purpose_A41,82.0
cat__purpose_A40,80.0
cat__present_employment_since_A72,80.0
cat__purpose_A43,65.0
cat__other_installment_plans_A143,59.0
cat__telephone_A191,57.0
cat__present_employment_since_A75,54.0
cat__present_employment_since_A74,53.0
cat__property_A122,53.0
cat__job_A174,51.0
cat__purpose_A46,50.0
cat__other_installment_plans_A141,50.0
cat__savings_account_bonds_A65,48.0
num__people_liable_count,46.0
cat__job_A172,46.0
cat__credit_history_A33,45.0
cat__purpose_A42,43.0
cat__property_A124,41.0
cat__credit_history_A30,37.0
cat__housing_A152,34.0
cat__housing_A151,33.0
cat__foreign_worker_A201,33.0
cat__savings_account_bonds_A62,28.0
cat__savings_account_bonds_A64,28.0
cat__credit_history_A31,27.0
cat__other_debtors_guarantors_A101,26.0
cat__other_debtors_guarantors_A103,24.0
cat__telephone_A192,22.0
cat__other_debtors_guarantors_A102,22.0
cat__present_employment_since_A71,20.0
cat__housing_A153,19.0
cat__status_checking_account_A13,17.0
cat__purpose_A49,17.0
cat__personal_status_and_sex_A91,15.0
cat__personal_status_and_sex_A94,8.0
cat__savings_account_bonds_A63,2.0
cat__other_installment_plans_A142,2.0
cat__purpose_A48,0.0
cat__purpose_A410,0.0
cat__purpose_A45,0.0
cat__purpose_A44,0.0
cat__job_A171,0.0
cat__foreign_worker_A202,0.0
